X,Y,Z
-0.987491,-0.461431,1.732
-1.01456,-0.475817,1.786
-1.01085,-0.475817,1.786
-0.999234,-0.472088,1.772
-0.995546,-0.472088,1.772
-0.227054,-0.206205,0.774
-0.226317,-0.207005,0.777
-0.223833,-0.206205,0.774
-0.221361,-0.205406,0.771
-0.220611,-0.206205,0.774
-0.219,-0.206205,0.774
-0.21739,-0.206205,0.774
-0.214942,-0.205406,0.771
-0.214168,-0.206205,0.774
-0.211733,-0.205406,0.771
-0.209584,-0.204873,0.769
-0.207983,-0.204873,0.769
-0.205578,-0.204074,0.766
-0.202652,-0.202742,0.761
-0.200276,-0.201943,0.758
-0.10225,-0.211267,0.793
-0.1006,-0.211267,0.793
-0.0989494,-0.211267,0.793
-0.096931,-0.210468,0.79
-0.0952869,-0.210468,0.79
-0.0930501,-0.209136,0.785
-0.0904848,-0.207005,0.777
-0.0881815,-0.205406,0.771
-0.0865769,-0.205406,0.771
-0.0849723,-0.205406,0.771
-0.0459346,-0.17317,0.65
-0.0443075,-0.172104,0.646
-0.0428301,-0.171571,0.644
-0.041361,-0.171039,0.642
-0.0400249,-0.171039,0.642
-0.0386888,-0.171039,0.642
-0.0372363,-0.170506,0.64
-0.0357361,-0.169706,0.637
-0.0345724,-0.170506,0.64
-0.0328769,-0.168641,0.633
-0.0315596,-0.168641,0.633
-0.0302422,-0.168641,0.633
-0.0269533,-0.164645,0.618
-0.987491,-0.457819,1.732
-1.00661,-0.468392,1.772
-1.00292,-0.468392,1.772
-0.999234,-0.468392,1.772
-0.995546,-0.468392,1.772
-0.991858,-0.468392,1.772
-0.98817,-0.468392,1.772
-0.973419,-0.468392,1.772
-0.969731,-0.468392,1.772
-0.989486,-0.479758,1.815
-0.229401,-0.206706,0.782
-0.227774,-0.206706,0.782
-0.225279,-0.205913,0.779
-0.222222,-0.204591,0.774
-0.221466,-0.205384,0.777
-0.220415,-0.205913,0.779
-0.218232,-0.205384,0.777
-0.216615,-0.205384,0.777
-0.214168,-0.204591,0.774
-0.212557,-0.204591,0.774
-0.210129,-0.203798,0.771
-0.207983,-0.203269,0.769
-0.206383,-0.203269,0.769
-0.203185,-0.201683,0.763
-0.201597,-0.201683,0.763
-0.198174,-0.199833,0.756
-0.10225,-0.209613,0.793
-0.1006,-0.209613,0.793
-0.0989494,-0.209613,0.793
-0.096931,-0.20882,0.79
-0.0952869,-0.20882,0.79
-0.0930501,-0.207499,0.785
-0.0904848,-0.205384,0.777
-0.0881815,-0.203798,0.771
-0.0865769,-0.203798,0.771
-0.0849723,-0.203798,0.771
-0.0459346,-0.171814,0.65
-0.0443075,-0.170757,0.646
-0.0428301,-0.170228,0.644
-0.041361,-0.1697,0.642
-0.0400249,-0.1697,0.642
-0.0386888,-0.1697,0.642
-0.0372363,-0.169171,0.64
-0.0358483,-0.168907,0.639
-0.0345184,-0.168907,0.639
-0.0328769,-0.167321,0.633
-0.0315596,-0.167321,0.633
-0.0302422,-0.167321,0.633
-0.0287877,-0.166528,0.63
-0.026866,-0.162827,0.616
-0.987491,-0.454207,1.732
-1.00661,-0.464696,1.772
-1.00292,-0.464696,1.772
-0.999234,-0.464696,1.772
-0.995546,-0.464696,1.772
-0.991858,-0.464696,1.772
-0.98817,-0.464696,1.772
-0.984483,-0.464696,1.772
-0.988544,-0.468368,1.786
-0.984827,-0.468368,1.786
-0.973419,-0.464696,1.772
-0.977393,-0.468368,1.786
-0.997118,-0.479644,1.829
-0.969959,-0.468368,1.786
-0.973816,-0.472039,1.8
-0.932283,-0.743724,2.836
-0.92638,-0.743724,2.836
-0.887048,-0.716713,2.733
-0.87104,-0.708321,2.701
-0.835621,-0.683932,2.608
-0.228648,-0.205862,0.785
-0.226146,-0.205075,0.782
-0.222222,-0.202977,0.774
-0.221466,-0.203764,0.777
-0.220415,-0.204288,0.779
-0.218232,-0.203764,0.777
-0.216615,-0.203764,0.777
-0.214168,-0.202977,0.774
-0.212557,-0.202977,0.774
-0.210129,-0.20219,0.771
-0.207983,-0.201666,0.769
-0.206383,-0.201666,0.769
-0.203983,-0.200879,0.766
-0.201597,-0.200092,0.763
-0.198698,-0.198781,0.758
-0.1966,-0.198256,0.756
-0.10225,-0.207959,0.793
-0.10098,-0.208746,0.796
-0.0989494,-0.207959,0.793
-0.096931,-0.207173,0.79
-0.0952869,-0.207173,0.79
-0.0930501,-0.205862,0.785
-0.0904848,-0.203764,0.777
-0.0881815,-0.20219,0.771
-0.0865769,-0.20219,0.771
-0.0849723,-0.20219,0.771
-0.046076,-0.170983,0.652
-0.0443075,-0.16941,0.646
-0.0428301,-0.168885,0.644
-0.0414898,-0.168885,0.644
-0.0401496,-0.168885,0.644
-0.0386888,-0.168361,0.642
-0.0372363,-0.167836,0.64
-0.0358483,-0.167574,0.639
-0.0345184,-0.167574,0.639
-0.0328769,-0.166,0.633
-0.0315596,-0.166,0.633
-0.0302422,-0.166,0.633
-0.0288791,-0.165738,0.632
-0.0269533,-0.162067,0.618
-0.987491,-0.450594,1.732
-1.00661,-0.461001,1.772
-1.00292,-0.461001,1.772
-0.999234,-0.461001,1.772
-0.995546,-0.461001,1.772
-0.991858,-0.461001,1.772
-0.98817,-0.461001,1.772
-0.992261,-0.464643,1.786
-0.996293,-0.468285,1.8
-0.984827,-0.464643,1.786
-0.98111,-0.464643,1.786
-0.977393,-0.464643,1.786
-0.997118,-0.47583,1.829
-0.977562,-0.468285,1.8
-0.973816,-0.468285,1.8
-0.920777,-0.728704,2.801
-0.914948,-0.728704,2.801
-0.876661,-0.702688,2.701
-0.860721,-0.694363,2.669
-0.835621,-0.678493,2.608
-0.830194,-0.678493,2.608
-0.229401,-0.203444,0.782
-0.227774,-0.203444,0.782
-0.225279,-0.202663,0.779
-0.223083,-0.202143,0.777
-0.221466,-0.202143,0.777
-0.220415,-0.202663,0.779
-0.218232,-0.202143,0.777
-0.216615,-0.202143,0.777
-0.214998,-0.202143,0.777
-0.212557,-0.201363,0.774
-0.210129,-0.200582,0.771
-0.208524,-0.200582,0.771
-0.206383,-0.200062,0.769
-0.203983,-0.199281,0.766
-0.202389,-0.199281,0.766
-0.199484,-0.197981,0.761
-0.197121,-0.1972,0.758
